"Site";"Sol";"X";"Y";"Altitude";"Pente";"pH_Superficiel";"pH_Profond";"pH_Intermediaire";"Eau_Superficiel";"Eau_Profond";"Eau_Intermediaire";"Av.P_Superficiel";"Av.P_Profond";"Av.P_Intermediaire";"C_Superficiel";"C_Profond";"C_Intermediaire";"N_Superficiel";"N_Profond";"N_Intermediaire";"NO3_Superficiel";"NO3_Profond";"NO3_Intermediaire";"NH4_Superficiel";"NH4_Profond";"NH4_Intermediaire";"Exc.Ac_Superficiel";"Exc.Ac_Profond";"Exc.Ac_Intermediaire";"Exc.Al_Superficiel";"Exc.Al_Profond";"Exc.Al_Intermediaire";"Exc.Ca_Superficiel";"Exc.Ca_Profond";"Exc.Ca_Intermediaire";"Exc.Mg_Superficiel";"Exc.Mg_Profond";"Exc.Mg_Intermediaire";"Exc.K_Superficiel";"Exc.K_Profond";"Exc.K_Intermediaire";"Exc.Na_Superficiel";"Exc.Na_Profond";"Exc.Na_Intermediaire";"Exc.Cations_Superficiel";"Exc.Cations_Profond";"Exc.Cations_Intermediaire";"SatBase_Superficiel";"SatBase_Profond";"SatBase_Intermediaire";"Argile_Superficiel";"Argile_Profond";"Argile_Intermediaire";"Limon_Superficiel";"Limon_Profond";"Limon_Intermediaire";"Sable_Superficiel";"Sable_Profond";"Sable_Intermediaire"
"292-11_A";"Alluvial";604296.65;648266.61;77.98586332;0.815678929;4.56;4.91;4.6;2.76;3.39;2.84;7.02;1.75;4.67;0.91;0.3;0.58;0.12;0.06;0.09;10.13;1.84;4.87;2.43;2.17;2.52;3.96;5.8;5.09;3.6;5.33;4.63;0.32;0.15;0.17;0.18;0.2;0.21;0.21;0.15;0.15;0.06;0.05;0.05;4.73;6.35;5.68;16.36;8.69;10.29;27;31;27;19;16;19;54;52;54
"292-11_B";"Alluvial";604316.95;648267.13;77.23707967;0.91869139975;4.67;4.81;4.63;3.39;4.28;3.77;4.54;0.7;1.84;0.96;0.38;0.61;0.14;0.08;0.1;1.84;6.51;10.83;3.39;0.66;0.75;4.14;8.25;6.23;3.83;7.65;5.72;0.91;0.2;0.33;0.87;1.2;0.86;0.16;0.17;0.12;0.06;0.06;0.06;6.14;9.89;7.61;32.53;16.53;18.06;33;43;33;24;26;24;43;31;43
"292-11_C";"Alluvial";604337.25;648267.65;77.40595216;0.5785313705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_D";"Alluvial";604357.55;648268.17;76.60488794;0.5126316565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_E";"Alluvial";604377.85;648268.69;72.13805477;0.71373201625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_F";"Alluvial";604377.85;648248.57;72.65475682;0.62111368925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_G";"Alluvial";604357.55;648248.01;77.80687518;0.73372913775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_H";"Alluvial";604337.25;648247.45;81.00246537;0.65603905025;4.84;4.57;4.74;4.12;4.98;4.58;4.2;0.88;2.39;0.96;0.47;0.67;0.12;0.08;0.11;2.95;7.33;9.27;3.21;2;2.16;5.48;7.84;6.92;4.95;7.68;6.44;1.42;0.3;0.67;1.79;1.98;1.49;0.22;0.16;0.17;0.07;0.06;0.07;8.98;10.35;9.31;39.02;24.21;25.74;37;45;37;32;25;32;31;30;31
"292-11_I";"Alluvial";604316.95;648246.89;79.43225051;0.598125632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_J";"Alluvial";604296.65;648246.33;78.09591401;0.62146538875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
