"Famille";"Genre";"Espece";"TxCroissance";"Densite";"Hauteur"
"Lauraceae";"Actinodaphne";"Actinodaphne_borneensis";0.014513812;0.5;14.33974179
"Meliaceae";"Aglaia";"Aglaia_rufinervis";0.020601734;0.666135083;32.57120944
"Cornaceae";"Alangium";"Alangium_javanicum";0.012390014;0.73;39.98341412
"Annonaceae";"Alphonsea";"Alphonsea_javanica";0.013619418;0.54;49.43483646
"Phyllanthaceae";"Aporosa";"Aporosa_elmeri";0.010283679;0.6;28.77834562
"Phyllanthaceae";"Aporosa";"Aporosa_grandistipula";0.018859467;0.6150115;18.81292563
"Phyllanthaceae";"Aporosa";"Aporosa_lucida";0.018215427;0.72;19.31930849
"Phyllanthaceae";"Aporosa";"Aporosa_nitida";0.016226385;0.6150115;19.67736107
"Fabaceae";"Archidendron";"Archidendron_sabahense";0.014699053;0.349549714;33.86562638
"Moraceae";"Artocarpus";"Artocarpus_dadah";0.016169048;0.585;44.92033925
"Phyllanthaceae";"Baccaurea";"Baccaurea_kunstleri";0.01391866;0.645;31.59933757
"Phyllanthaceae";"Baccaurea";"Baccaurea_parviflora";0.018775502;0.72;29.19732572
"Phyllanthaceae";"Baccaurea";"Baccaurea_stipulata";0.009566589;0.623529412;18.74008327
"Phyllanthaceae";"Baccaurea";"Baccaurea_sumatrana";0.014808266;0.605;35.6847856
"Phyllanthaceae";"Baccaurea";"Baccaurea_tetrandra";0.009576657;0.623529412;21.42566196
"Lecythidaceae";"Barringtonia";"Barringtonia_lanceolata";0.00751317;0.4903882;57.11805887
"Lecythidaceae";"Barringtonia";"Barringtonia_macrostachya";0.007954691;0.6;41.2679611
"Lecythidaceae";"Barringtonia";"Barringtonia_sarcostachys";0.009578475;0.4903882;26.95025142
"Lauraceae";"Beilschmiedia";"Beilschmiedia_madang";0.011827662;0.47;29.8502926
"Lauraceae";"Beilschmiedia";"Beilschmiedia_maingayi";0.007600507;0.495625;22.4441371
"Lauraceae";"Beilschmiedia";"Beilschmiedia_micrantha";0.016110827;0.38;29.4355253
"Celastraceae";"Bhesa";"Bhesa_paniculata";0.020357056;0.655;28.95824408
"Clusiaceae";"Calophyllum";"Calophyllum_gracilipes";0.017498676;0.551142857;91.13331081
"Clusiaceae";"Calophyllum";"Calophyllum_tetrapterum";0.027754312;0.551142857;36.82083097
"Burseraceae";"Canarium";"Canarium_asperum";0.012073238;0.47;38.20579583
"Burseraceae";"Canarium";"Canarium_denticulatum";0.009677368;0.525;51.39218183
"Burseraceae";"Canarium";"Canarium_latistipulatum";0.007142684;0.483365897;25.88911857
"Burseraceae";"Canarium";"Canarium_odontophyllum";0.012846776;0.5;38.52217435
"Burseraceae";"Canarium";"Canarium_pilosum";0.007215743;0.465;20.66466924
"Fagaceae";"Castanopsis";"Castanopsis_motleyana";0.016248796;0.590135759;47.82429857
"Euphorbiaceae";"Chaetocarpus";"Chaetocarpus_castanocarpus";0.009738694;0.75;47.44178767
"Oleaceae";"Chionanthus";"Chionanthus_laxiflorus";0.02070988;0.605;22.84569268
"Meliaceae";"Chisocheton";"Chisocheton_beccarianus";0.008944439;0.505;23.96657177
"Meliaceae";"Chisocheton";"Chisocheton_sarawakanus";0.01024192;0.6;36.28186387
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_baramicus";0.008993103;0.576;21.69936088
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_ellipticus";0.01132451;0.576;25.12810735
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_gracilis";0.010305677;0.576;25.00026114
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_myrianthus";0.026805346;0.535;38.36413258
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_paxii";0.016866904;0.576;20.9428382
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_rufescens";0.02106141;0.576;20.38479649
"Phyllanthaceae";"Cleistanthus";"Cleistanthus_sumatranus";0.017253706;0.64;14.33974179
"Rhamnaceae";"Colubrina";"Colubrina_beccariana";0.014602386;0.8;24.61493275
"Dipterocarpaceae";"Cotylelobium";"Cotylelobium_melanoxylon";0.012789363;0.825;49.57579878
"Crypteroniaceae";"Crypteronia";"Crypteronia_griffithii";0.014912457;0.584786667;32.62796818
"Ctenolophonaceae";"Ctenolophon";"Ctenolophon_parvifolius";0.012721314;0.743333333;48.44294773
"Fabaceae";"Cynometra";"Cynometra_inaequifolia";0.011004062;0.8;30.96322417
"Burseraceae";"Dacryodes";"Dacryodes_laxa";0.015652358;0.693333333;28.65813036
"Burseraceae";"Dacryodes";"Dacryodes_rostrata";0.008196889;0.55;37.99421729
"Lauraceae";"Dehaasia";"Dehaasia_caesia";0.010129785;0.66;39.98341412
"Fabaceae";"Dialium";"Dialium_indum";0.012269411;0.82;57.25012254
"Dilleniaceae";"Dillenia";"Dillenia_excelsa";0.007769475;0.68;36.55179666
"Ebenaceae";"Diospyros";"Diospyros_curranii";0.011858051;0.66;27.50442271
"Ebenaceae";"Diospyros";"Diospyros_euphlehia";0.007444471;0.671357192;13.67441184
"Ebenaceae";"Diospyros";"Diospyros_fusiformis";0.011763878;0.671357192;24.42124342
"Ebenaceae";"Diospyros";"Diospyros_laevigata";0.008005658;0.54;23.31017882
"Ebenaceae";"Diospyros";"Diospyros_macrophylla";0.009084108;0.48;29.73205495
"Ebenaceae";"Diospyros";"Diospyros_polyalthioides";0.008198794;0.7;34.19961791
"Ebenaceae";"Diospyros";"Diospyros_sumatrana";0.017706478;0.605;39.62039687
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_acutangulus";0.005251352;0.635;71.60565101
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_applanatus";0.014820209;0.64;67.04585503
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_caudiferus";0.10502929;0.650869096;78.91561925
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_confertus";0.015314969;0.64;54.5818646
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_grandiflorus";0.013143224;0.67;64.60874271
"Dipterocarpaceae";"Dipterocarpus";"Dipterocarpus_kunstleri";0.010097224;0.6;55.92319114
"Dipterocarpaceae";"Dryobalanops";"Dryobalanops_lanceolata";0.017438508;0.62;77.88510775
"Malvaceae";"Durio";"Durio_acutifolius";0.00828352;0.547117037;28.47737849
"Malvaceae";"Durio";"Durio_grandiflorus";0.011108195;0.547117037;29.96831883
"Apocynaceae";"Dyera";"Dyera_costulata";0.009288817;0.3375;72.00279581
"Elaeocarpaceae";"Elaeocarpus";"Elaeocarpus_pedunculatus";0.019017042;0.483592688;56.32275247
"Elaeocarpaceae";"Elaeocarpus";"Elaeocarpus_stipularis";0.015485056;0.445;23.11163053
"Euphorbiaceae";"Endospermum";"Endospermum_diadenum";0.013514656;0.366666667;48.53780707
"Annonaceae";"Enicosanthum";"Enicosanthum_erianthoides";0.017289058;0.493333333;22.10700997
"Simaroubaceae";"Eurycoma";"Eurycoma_longifolia";0.006753853;0.505;18.30030158
"Lauraceae";"Eusideroxylon";"Eusideroxylon_zwageri";0.012691433;0.786666667;70.04714518
"Moraceae";"Ficus";"Ficus_treubii";0.033828706;0.398846113;22.10700997
"Fabaceae";"Fordia";"Fordia_splendidissima";0.006859007;0.64;27.81012115
"Clusiaceae";"Garcinia";"Garcinia_forbesii";0.017971762;0.718623128;21.28821855
